TeamName,Seed,Region,SeedNum,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship,Champion
Duke,W01,W,1,1.0,0.9775,0.798,0.6328,0.4596,0.2864,0.189
Alabama,W02,W,2,1.0,0.9661,0.6925,0.4185,0.1838,0.0807,0.0383
Wisconsin,W03,W,3,1.0,0.9028,0.5284,0.2733,0.1123,0.043,0.0198
Arizona,W04,W,4,1.0,0.827,0.5342,0.1608,0.0795,0.0284,0.0104
Oregon,W05,W,5,1.0,0.6302,0.2798,0.0758,0.0283,0.0088,0.0026
BYU,W06,W,6,1.0,0.6475,0.2856,0.1406,0.0443,0.0129,0.0048
St Mary's CA,W07,W,7,1.0,0.6079,0.1979,0.0864,0.0249,0.0068,0.002
Mississippi St,W08,W,8,1.0,0.5537,0.1171,0.0565,0.0227,0.0061,0.0017
Baylor,W09,W,9,1.0,0.4463,0.0823,0.0445,0.0186,0.0047,0.0011
Vanderbilt,W10,W,10,1.0,0.3921,0.1024,0.0309,0.0081,0.0018,0.0005
VCU,W11,W,11,1.0,0.3525,0.1704,0.0482,0.0099,0.0016,0.0007
Liberty,W12,W,12,1.0,0.3698,0.1256,0.0194,0.0058,0.0008,0.0004
Akron,W13,W,13,1.0,0.173,0.0604,0.0099,0.0021,0.0003,0.0002
Montana,W14,W,14,1.0,0.0972,0.0156,0.0013,0.0,0.0,0.0
Robert Morris,W15,W,15,1.0,0.0339,0.0072,0.0008,0.0001,0.0,0.0
Mt St Mary's,W16b,W,16,1.0,0.0225,0.0026,0.0003,0.0,0.0,0.0
Houston,X01,X,1,1.0,0.9808,0.7265,0.53,0.3714,0.2389,0.1537
Tennessee,X02,X,2,1.0,0.9459,0.6554,0.4514,0.1958,0.0919,0.0426
Kentucky,X03,X,3,1.0,0.8926,0.5612,0.2246,0.092,0.0413,0.0179
Purdue,X04,X,4,1.0,0.7913,0.5132,0.2042,0.1143,0.0565,0.0276
Clemson,X05,X,5,1.0,0.8216,0.3923,0.1087,0.0468,0.0179,0.0066
Illinois,X06,X,6,1.0,0.5293,0.2011,0.0704,0.0247,0.0107,0.0035
UCLA,X07,X,7,1.0,0.7345,0.2837,0.1628,0.056,0.0216,0.0079
Gonzaga,X08,X,8,1.0,0.6518,0.2028,0.118,0.0662,0.0285,0.0121
Georgia,X09,X,9,1.0,0.3482,0.0699,0.0303,0.0102,0.0032,0.001
Utah St,X10,X,10,1.0,0.2655,0.0541,0.0191,0.003,0.0006,0.0002
Xavier,X11b,X,11,1.0,0.4707,0.215,0.0675,0.017,0.0062,0.0018
McNeese St,X12,X,12,1.0,0.1784,0.047,0.0037,0.0012,0.0003,0.0
High Point,X13,X,13,1.0,0.2087,0.0475,0.005,0.0012,0.0001,0.0001
Troy,X14,X,14,1.0,0.1074,0.0227,0.0028,0.0,0.0,0.0
Wofford,X15,X,15,1.0,0.0541,0.0068,0.0014,0.0002,0.0,0.0
SIUE,X16,X,16,1.0,0.0192,0.0008,0.0001,0.0,0.0,0.0
Auburn,Y01,Y,1,1.0,0.9529,0.7412,0.5972,0.4326,0.2776,0.1571
Michigan St,Y02,Y,2,1.0,0.8751,0.5729,0.3252,0.1481,0.0683,0.0264
Iowa St,Y03,Y,3,1.0,0.8284,0.4007,0.1956,0.0782,0.0283,0.0074
Texas A&M,Y04,Y,4,1.0,0.8304,0.4884,0.1451,0.063,0.0223,0.005
Michigan,Y05,Y,5,1.0,0.6977,0.3776,0.1233,0.0508,0.0184,0.0048
Mississippi,Y06,Y,6,1.0,0.3777,0.2071,0.0992,0.0373,0.0129,0.0034
Marquette,Y07,Y,7,1.0,0.7041,0.3257,0.1617,0.0657,0.0278,0.0107
Louisville,Y08,Y,8,1.0,0.6681,0.1496,0.0743,0.0297,0.0092,0.0022
Creighton,Y09,Y,9,1.0,0.3319,0.105,0.0391,0.0098,0.0017,0.0003
New Mexico,Y10,Y,10,1.0,0.2959,0.0775,0.0239,0.0052,0.0012,0.0001
North Carolina,Y11a,Y,11,1.0,0.6223,0.3638,0.1864,0.0726,0.0255,0.008
UC San Diego,Y12,Y,12,1.0,0.3023,0.0976,0.0166,0.005,0.0009,0.0001
Yale,Y13,Y,13,1.0,0.1696,0.0364,0.0039,0.0008,0.0,0.0
Lipscomb,Y14,Y,14,1.0,0.1716,0.0284,0.0046,0.0007,0.0001,0.0
Bryant,Y15,Y,15,1.0,0.1249,0.0239,0.0034,0.0005,0.0001,0.0
Alabama St,Y16a,Y,16,1.0,0.0471,0.0042,0.0005,0.0,0.0,0.0
Florida,Z01,Z,1,1.0,0.9771,0.734,0.5373,0.3462,0.2019,0.1046
St John's,Z02,Z,2,1.0,0.861,0.5054,0.198,0.0769,0.031,0.009
Texas Tech,Z03,Z,3,1.0,0.9378,0.588,0.4043,0.223,0.1226,0.0585
Maryland,Z04,Z,4,1.0,0.7922,0.6231,0.2595,0.1361,0.066,0.0266
Memphis,Z05,Z,5,1.0,0.3632,0.0796,0.012,0.0031,0.0009,0.0003
Missouri,Z06,Z,6,1.0,0.6232,0.3059,0.1949,0.0756,0.0334,0.0139
