,Seed,Region,SeedNum,Round of 64,Round of 32,Sweet 16,Elite 8,Final Four,Championship,Champion,Season,PlayinKey
0,W01,W,1,1.0,0.9508,0.784,0.395,0.1754,0.0949,0.0533,2017,
1,W02,W,2,1.0,0.981,0.7961,0.5193,0.3481,0.2325,0.1746,2017,
2,W03,W,3,1.0,0.9199,0.5377,0.2637,0.1181,0.055,0.0308,2017,
3,W04,W,4,1.0,0.8695,0.4221,0.2489,0.1059,0.0613,0.0384,2017,
4,W05,W,5,1.0,0.8608,0.5302,0.2859,0.1496,0.0902,0.056,2017,
5,W06,W,6,1.0,0.9005,0.4245,0.139,0.0626,0.0249,0.0112,2017,
6,W07,W,7,1.0,0.3872,0.0531,0.0119,0.0045,0.0012,0.0004,2017,
7,W08,W,8,1.0,0.5251,0.1156,0.0342,0.0093,0.0028,0.0008,2017,
8,W09,W,9,1.0,0.4749,0.0938,0.0268,0.0056,0.0013,0.0003,2017,
9,W10,W,10,1.0,0.6128,0.1484,0.0635,0.0188,0.007,0.0026,2017,
10,W11,W,11,1.0,0.0995,0.0155,0.0009,0.0001,0.0,0.0,2017,
11,W12,W,12,1.0,0.1392,0.034,0.007,0.0015,0.0004,0.0002,2017,
12,W13,W,13,1.0,0.1305,0.0137,0.0019,0.0001,0.0,0.0,2017,
13,W14,W,14,1.0,0.0801,0.0223,0.0016,0.0003,0.0,0.0,2017,
14,W15,W,15,1.0,0.019,0.0024,0.0001,0.0001,0.0,0.0,2017,
15,W16,W,16,1.0,0.0492,0.0066,0.0003,0.0,0.0,0.0,2017,
16,X01,X,1,1.0,0.9757,0.7645,0.5473,0.3125,0.1508,0.1018,2017,
17,X02,X,2,1.0,0.9467,0.4784,0.4,0.2202,0.1092,0.0629,2017,
18,X03,X,3,1.0,0.5438,0.391,0.104,0.0451,0.0104,0.0048,2017,
19,X04,X,4,1.0,0.7627,0.3939,0.1071,0.0382,0.0105,0.0034,2017,
20,X05,X,5,1.0,0.6583,0.4519,0.2058,0.102,0.0416,0.0201,2017,
21,X06,X,6,1.0,0.6003,0.2318,0.0515,0.0135,0.0029,0.0009,2017,
22,X07,X,7,1.0,0.8567,0.4965,0.3727,0.2003,0.0879,0.0501,2017,
23,X08,X,8,1.0,0.4096,0.0803,0.0301,0.0091,0.0015,0.0005,2017,
24,X09,X,9,1.0,0.5904,0.1533,0.0818,0.0357,0.0101,0.0039,2017,
25,X10,X,10,1.0,0.1433,0.0189,0.0053,0.0007,0.0002,0.0001,2017,
26,X11,X,11,1.0,0.3997,0.1636,0.0368,0.0084,0.0019,0.0004,2017,
27,X12,X,12,1.0,0.3417,0.1184,0.0226,0.0054,0.0008,0.0005,2017,
28,X13,X,13,1.0,0.2373,0.0358,0.0052,0.0007,0.0,0.0,2017,
29,X14,X,14,1.0,0.4562,0.2136,0.0285,0.008,0.0007,0.0003,2017,
30,X15,X,15,1.0,0.0533,0.0062,0.0012,0.0002,0.0,0.0,2017,
31,X16,X,16,1.0,0.0243,0.0019,0.0001,0.0,0.0,0.0,2017,
32,Y01,Y,1,1.0,0.9645,0.6765,0.4006,0.2201,0.1297,0.0492,2017,
33,Y02,Y,2,1.0,0.949,0.5753,0.3841,0.2295,0.1324,0.0592,2017,
34,Y03,Y,3,1.0,0.8947,0.6293,0.2812,0.1459,0.0656,0.0238,2017,
35,Y04,Y,4,1.0,0.8389,0.5237,0.2722,0.1346,0.0615,0.0209,2017,
36,Y05,Y,5,1.0,0.7235,0.3391,0.16,0.0692,0.0386,0.0168,2017,
37,Y06,Y,6,1.0,0.6061,0.239,0.0746,0.0258,0.0126,0.0041,2017,
38,Y07,Y,7,1.0,0.3688,0.1565,0.0767,0.0343,0.0168,0.0062,2017,
39,Y08,Y,8,1.0,0.5823,0.1873,0.0836,0.0316,0.012,0.0027,2017,
40,Y09,Y,9,1.0,0.4177,0.1336,0.0525,0.0154,0.0048,0.0013,2017,
41,Y10,Y,10,1.0,0.6312,0.2652,0.1534,0.0783,0.0355,0.0139,2017,
42,Y11,Y,11,1.0,0.3939,0.1077,0.027,0.0071,0.0015,0.0002,2017,
43,Y12,Y,12,1.0,0.2765,0.1037,0.0248,0.007,0.0025,0.0001,2017,
44,Y13,Y,13,1.0,0.1611,0.0335,0.0061,0.001,0.0004,0.0,2017,
45,Y14,Y,14,1.0,0.1053,0.024,0.0028,0.0002,0.0001,0.0,2017,
46,Y15,Y,15,1.0,0.051,0.003,0.0002,0.0,0.0,0.0,2017,
47,Y16,Y,16,1.0,0.0355,0.0026,0.0002,0.0,0.0,0.0,2017,
48,Z01,Z,1,1.0,0.9888,0.7176,0.4266,0.2092,0.1103,0.046,2017,
49,Z02,Z,2,1.0,0.9584,0.6897,0.426,0.2886,0.1718,0.0683,2017,
50,Z03,Z,3,1.0,0.8816,0.523,0.2121,0.1041,0.0466,0.0183,2017,
51,Z04,Z,4,1.0,0.8513,0.5648,0.275,0.1429,0.0619,0.0229,2017,
52,Z05,Z,5,1.0,0.5221,0.2143,0.0952,0.0249,0.0072,0.0009,2017,
53,Z06,Z,6,1.0,0.7599,0.3954,0.2196,0.1079,0.0479,0.0174,2017,
54,Z07,Z,7,1.0,0.383,0.1365,0.0387,0.014,0.0038,0.0008,2017,
55,Z08,Z,8,1.0,0.662,0.2472,0.1271,0.0551,0.0186,0.0055,2017,
56,Z09,Z,9,1.0,0.338,0.035,0.0114,0.0019,0.0005,0.0,2017,
57,Z10,Z,10,1.0,0.617,0.166,0.0808,0.0328,0.0134,0.0029,2017,
58,Z11,Z,11,1.0,0.2401,0.0723,0.0204,0.0055,0.0009,0.0,2017,
59,Z12,Z,12,1.0,0.4779,0.1896,0.0611,0.0127,0.0031,0.0003,2017,
60,Z13,Z,13,1.0,0.1487,0.0313,0.0036,0.0002,0.0,0.0,2017,
61,Z14,Z,14,1.0,0.1184,0.0093,0.0015,0.0001,0.0,0.0,2017,
62,Z15,Z,15,1.0,0.0416,0.0078,0.0009,0.0001,0.0,0.0,2017,
63,Z16,Z,16,1.0,0.0112,0.0002,0.0,0.0,0.0,0.0,2017,
64,W01,W,1,1.0,0.9831,0.8445,0.6756,0.5609,0.4242,0.3234,2018,
65,W02,W,2,1.0,0.9738,0.73,0.5228,0.1867,0.0888,0.0497,2018,
66,W03,W,3,1.0,0.8027,0.3861,0.1397,0.0319,0.0093,0.0032,2018,
67,W04,W,4,1.0,0.8764,0.3714,0.0849,0.0331,0.0109,0.0039,2018,
68,W05,W,5,1.0,0.7952,0.5415,0.1775,0.0913,0.0358,0.0165,2018,
69,W06,W,6,1.0,0.8022,0.5052,0.2139,0.0505,0.0142,0.0055,2018,
70,W07,W,7,1.0,0.3622,0.0958,0.0394,0.0063,0.0013,0.0004,2018,
71,W08,W,8,1.0,0.7069,0.1326,0.0493,0.0221,0.0065,0.0027,2018,
72,W09,W,9,1.0,0.2931,0.0208,0.0053,0.0014,0.0001,0.0,2018,
73,W10,W,10,1.0,0.6378,0.1709,0.0702,0.0133,0.003,0.0007,2018,
74,W11,W,11,1.0,0.1978,0.0748,0.011,0.0011,0.0,0.0,2018,
75,W12,W,12,1.0,0.2048,0.0732,0.0067,0.0012,0.0001,0.0,2018,
76,W13,W,13,1.0,0.1236,0.0139,0.0005,0.0001,0.0,0.0,2018,
77,W14,W,14,1.0,0.1973,0.0339,0.0027,0.0001,0.0,0.0,2018,
